20240715 013600;172.032000;172.040000;172.027000;172.033000;0
20240715 013700;172.034000;172.047000;172.030000;172.047000;0
20240715 013800;172.046000;172.066000;172.046000;172.063000;0
20240715 013900;172.061000;172.062000;172.019000;172.039000;0
20240715 014000;172.039000;172.041000;172.027000;172.032000;0
20240715 014100;172.032000;172.034000;172.026000;172.029000;0
20240715 014200;172.028000;172.051000;172.027000;172.051000;0
20240715 014300;172.050000;172.062000;172.049000;172.057000;0
20240715 014400;172.059000;172.077000;172.059000;172.076000;0
20240715 014500;172.075000;172.080000;172.060000;172.065000;0
20240715 014600;172.066000;172.075000;172.061000;172.075000;0
20240715 014700;172.074000;172.081000;172.073000;172.079000;0
20240715 014800;172.080000;172.081000;172.062000;172.062000;0
20240715 014900;172.060000;172.070000;172.058000;172.070000;0
20240715 015000;172.071000;172.110000;172.070000;172.102000;0
20240715 015100;172.100000;172.106000;172.092000;172.093000;0
20240715 015200;172.093000;172.093000;172.074000;172.081000;0
20240715 015300;172.083000;172.085000;172.079000;172.085000;0
20240715 015400;172.087000;172.099000;172.085000;172.087000;0
20240715 015500;172.089000;172.092000;172.034000;172.038000;0
20240715 015600;172.038000;172.045000;172.027000;172.044000;0
20240715 015700;172.045000;172.076000;172.038000;172.066000;0
20240715 015800;172.067000;172.084000;172.059000;172.079000;0
20240715 015900;172.080000;172.081000;172.071000;172.079000;0
20240715 020000;172.079000;172.084000;171.994000;172.052000;0
20240715 020100;172.048000;172.052000;172.020000;172.020000;0
20240715 020200;172.021000;172.021000;172.000000;172.013000;0
20240715 020300;172.014000;172.018000;171.996000;172.003000;0
20240715 020400;172.002000;172.046000;171.982000;172.039000;0
20240715 020500;172.039000;172.068000;172.033000;172.045000;0
20240715 020600;172.044000;172.107000;172.044000;172.080000;0
20240715 020700;172.081000;172.101000;172.074000;172.092000;0
20240715 020800;172.090000;172.130000;172.090000;172.115000;0
20240715 020900;172.115000;172.129000;172.102000;172.110000;0
20240715 021000;172.110000;172.152000;172.107000;172.152000;0
20240715 021100;172.152000;172.169000;172.151000;172.162000;0
20240715 021200;172.161000;172.190000;172.161000;172.170000;0
20240715 021300;172.172000;172.191000;172.168000;172.191000;0
20240715 021400;172.192000;172.211000;172.180000;172.211000;0
20240715 021500;172.211000;172.212000;172.173000;172.180000;0
20240715 021600;172.179000;172.220000;172.170000;172.209000;0
20240715 021700;172.210000;172.226000;172.195000;172.212000;0
20240715 021800;172.213000;172.245000;172.207000;172.243000;0
20240715 021900;172.244000;172.274000;172.243000;172.266000;0
20240715 022000;172.265000;172.309000;172.260000;172.292000;0
20240715 022100;172.291000;172.297000;172.252000;172.255000;0
20240715 022200;172.255000;172.255000;172.223000;172.245000;0
20240715 022300;172.244000;172.244000;172.197000;172.197000;0
20240715 022400;172.197000;172.237000;172.197000;172.222000;0
20240715 022500;172.220000;172.229000;172.206000;172.224000;0
20240715 022600;172.225000;172.229000;172.213000;172.221000;0
20240715 022700;172.221000;172.229000;172.197000;172.199000;0
20240715 022800;172.201000;172.225000;172.193000;172.220000;0
20240715 022900;172.221000;172.246000;172.213000;172.242000;0
20240715 023000;172.243000;172.250000;172.204000;172.208000;0
20240715 023100;172.209000;172.212000;172.159000;172.191000;0
20240715 023200;172.190000;172.197000;172.168000;172.181000;0
20240715 023300;172.181000;172.204000;172.162000;172.202000;0
20240715 023400;172.203000;172.209000;172.179000;172.206000;0
20240715 023500;172.207000;172.227000;172.205000;172.207000;0
20240715 023600;172.208000;172.252000;172.208000;172.231000;0
20240715 023700;172.232000;172.261000;172.231000;172.256000;0
20240715 023800;172.255000;172.257000;172.228000;172.248000;0
20240715 023900;172.249000;172.251000;172.214000;172.216000;0
20240715 024000;172.214000;172.227000;172.174000;172.177000;0
20240715 024100;172.176000;172.187000;172.158000;172.159000;0
20240715 024200;172.159000;172.190000;172.157000;172.167000;0
20240715 024300;172.168000;172.175000;172.159000;172.171000;0
20240715 024400;172.170000;172.190000;172.167000;172.171000;0
20240715 024500;172.172000;172.182000;172.164000;172.181000;0
20240715 024600;172.178000;172.186000;172.149000;172.178000;0
20240715 024700;172.179000;172.190000;172.169000;172.190000;0
20240715 024800;172.187000;172.187000;172.145000;172.163000;0
20240715 024900;172.162000;172.188000;172.143000;172.183000;0
20240715 025000;172.182000;172.186000;172.165000;172.175000;0
20240715 025100;172.174000;172.190000;172.158000;172.173000;0
20240715 025200;172.174000;172.175000;172.154000;172.165000;0
20240715 025300;172.165000;172.172000;172.159000;172.163000;0
20240715 025400;172.163000;172.167000;172.153000;172.163000;0
20240715 025500;172.162000;172.163000;172.121000;172.142000;0
20240715 025600;172.140000;172.159000;172.139000;172.157000;0
20240715 025700;172.159000;172.164000;172.147000;172.155000;0
20240715 025800;172.152000;172.163000;172.144000;172.163000;0
20240715 025900;172.157000;172.184000;172.127000;172.168000;0
20240715 030000;172.169000;172.196000;172.100000;172.101000;0
20240715 030100;172.103000;172.130000;172.086000;172.119000;0
20240715 030200;172.120000;172.130000;172.100000;172.101000;0
20240715 030300;172.103000;172.105000;172.082000;172.087000;0
20240715 030400;172.086000;172.090000;172.051000;172.061000;0
20240715 030500;172.063000;172.079000;172.027000;172.049000;0
20240715 030600;172.051000;172.068000;172.047000;172.067000;0
20240715 030700;172.068000;172.079000;172.024000;172.025000;0
20240715 030800;172.026000;172.032000;171.997000;172.030000;0
20240715 030900;172.030000;172.042000;172.006000;172.013000;0
20240715 031000;172.014000;172.023000;171.949000;171.949000;0
20240715 031100;171.948000;171.970000;171.923000;171.928000;0
20240715 031200;171.928000;171.963000;171.914000;171.936000;0
20240715 031300;171.935000;171.947000;171.901000;171.921000;0
20240715 031400;171.922000;171.970000;171.921000;171.955000;0
20240715 031500;171.956000;171.977000;171.953000;171.967000;0
20240715 031600;171.967000;171.984000;171.967000;171.971000;0
20240715 031700;171.969000;172.007000;171.958000;171.992000;0
20240715 031800;171.991000;172.012000;171.956000;171.958000;0
20240715 031900;171.957000;171.998000;171.957000;171.995000;0
20240715 032000;171.995000;172.087000;171.993000;172.078000;0
20240715 032100;172.081000;172.111000;172.079000;172.096000;0
20240715 032200;172.094000;172.094000;172.039000;172.066000;0
20240715 032300;172.063000;172.066000;172.013000;172.015000;0
20240715 032400;172.017000;172.027000;171.995000;172.004000;0
20240715 032500;172.005000;172.023000;171.940000;171.951000;0
20240715 032600;171.950000;171.962000;171.926000;171.962000;0
20240715 032700;171.961000;171.983000;171.949000;171.980000;0
20240715 032800;171.977000;171.979000;171.940000;171.970000;0
20240715 032900;171.970000;171.979000;171.931000;171.933000;0
20240715 033000;171.934000;171.968000;171.890000;171.902000;0
20240715 033100;171.902000;171.924000;171.898000;171.918000;0
20240715 033200;171.916000;171.916000;171.872000;171.877000;0
20240715 033300;171.877000;171.930000;171.870000;171.924000;0
20240715 033400;171.924000;171.951000;171.905000;171.950000;0
20240715 033500;171.951000;171.985000;171.946000;171.953000;0
20240715 033600;171.952000;171.972000;171.941000;171.972000;0
20240715 033700;171.970000;171.999000;171.970000;171.991000;0
20240715 033800;171.991000;172.025000;171.973000;172.023000;0
20240715 033900;172.023000;172.077000;172.023000;172.043000;0
20240715 034000;172.040000;172.055000;171.997000;171.999000;0
20240715 034100;172.000000;172.031000;171.977000;171.985000;0
20240715 034200;171.986000;171.997000;171.969000;171.976000;0
20240715 034300;171.976000;171.984000;171.941000;171.953000;0
20240715 034400;171.954000;171.985000;171.946000;171.981000;0
20240715 034500;171.981000;171.988000;171.954000;171.988000;0
20240715 034600;171.988000;172.030000;171.981000;172.030000;0
20240715 034700;172.028000;172.040000;171.989000;172.028000;0
20240715 034800;172.027000;172.032000;171.996000;172.010000;0
20240715 034900;172.010000;172.021000;171.989000;172.013000;0
20240715 035000;172.013000;172.043000;171.998000;172.031000;0
20240715 035100;172.032000;172.047000;172.015000;172.045000;0
20240715 035200;172.046000;172.066000;172.032000;172.062000;0
20240715 035300;172.061000;172.061000;172.031000;172.041000;0
20240715 035400;172.041000;172.052000;172.004000;172.006000;0
20240715 035500;172.010000;172.029000;172.004000;172.009000;0
20240715 035600;172.005000;172.018000;172.004000;172.006000;0
20240715 035700;172.005000;172.029000;172.004000;172.029000;0
20240715 035800;172.027000;172.071000;172.025000;172.055000;0
20240715 035900;172.056000;172.093000;172.047000;172.075000;0
20240715 040000;172.065000;172.081000;172.057000;172.060000;0
20240715 040100;172.060000;172.106000;172.047000;172.096000;0
20240715 040200;172.097000;172.122000;172.091000;172.107000;0
20240715 040300;172.109000;172.135000;172.104000;172.133000;0
20240715 040400;172.134000;172.149000;172.100000;172.118000;0
20240715 040500;172.115000;172.132000;172.108000;172.122000;0
20240715 040600;172.119000;172.160000;172.119000;172.140000;0
20240715 040700;172.139000;172.149000;172.089000;172.089000;0
20240715 040800;172.092000;172.094000;172.060000;172.074000;0
20240715 040900;172.073000;172.090000;172.055000;172.080000;0
20240715 041000;172.078000;172.114000;172.078000;172.104000;0
20240715 041100;172.105000;172.144000;172.096000;172.144000;0
20240715 041200;172.143000;172.150000;172.134000;172.137000;0
20240715 041300;172.139000;172.152000;172.129000;172.140000;0
20240715 041400;172.142000;172.142000;172.100000;172.109000;0
20240715 041500;172.112000;172.134000;172.097000;172.124000;0
20240715 041600;172.123000;172.128000;172.102000;172.116000;0
20240715 041700;172.115000;172.159000;172.109000;172.156000;0
20240715 041800;172.157000;172.182000;172.154000;172.180000;0
20240715 041900;172.180000;172.187000;172.173000;172.173000;0
20240715 042000;172.172000;172.172000;172.060000;172.061000;0
20240715 042100;172.057000;172.117000;172.053000;172.109000;0
20240715 042200;172.110000;172.125000;172.107000;172.117000;0
20240715 042300;172.120000;172.145000;172.118000;172.141000;0
20240715 042400;172.142000;172.157000;172.132000;172.143000;0
20240715 042500;172.144000;172.145000;172.090000;172.101000;0
20240715 042600;172.099000;172.141000;172.099000;172.124000;0
20240715 042700;172.123000;172.127000;172.100000;172.104000;0
20240715 042800;172.105000;172.112000;172.102000;172.103000;0
20240715 042900;172.103000;172.104000;172.083000;172.101000;0
20240715 043000;172.101000;172.122000;172.101000;172.119000;0
20240715 043100;172.119000;172.147000;172.119000;172.140000;0
20240715 043200;172.146000;172.173000;172.146000;172.153000;0
20240715 043300;172.152000;172.156000;172.135000;172.137000;0
20240715 043400;172.137000;172.168000;172.135000;172.163000;0
20240715 043500;172.164000;172.179000;172.162000;172.165000;0
20240715 043600;172.165000;172.184000;172.165000;172.171000;0
20240715 043700;172.171000;172.188000;172.167000;172.180000;0
20240715 043800;172.182000;172.182000;172.154000;172.155000;0
20240715 043900;172.154000;172.160000;172.153000;172.154000;0
20240715 044000;172.155000;172.184000;172.155000;172.178000;0
20240715 044100;172.179000;172.189000;172.172000;172.172000;0
20240715 044200;172.173000;172.174000;172.162000;172.162000;0
20240715 044300;172.162000;172.164000;172.148000;172.153000;0
20240715 044400;172.154000;172.158000;172.138000;172.140000;0
20240715 044500;172.141000;172.170000;172.135000;172.170000;0
20240715 044600;172.170000;172.202000;172.167000;172.201000;0
20240715 044700;172.200000;172.216000;172.192000;172.215000;0
20240715 044800;172.215000;172.215000;172.174000;172.178000;0
20240715 044900;172.178000;172.201000;172.176000;172.199000;0
20240715 045000;172.201000;172.214000;172.183000;172.212000;0
20240715 045100;172.214000;172.224000;172.202000;172.217000;0
20240715 045200;172.219000;172.226000;172.162000;172.165000;0
20240715 045300;172.164000;172.203000;172.162000;172.202000;0
20240715 045400;172.201000;172.201000;172.176000;172.180000;0
20240715 045500;172.179000;172.180000;172.134000;172.136000;0
20240715 045600;172.136000;172.180000;172.136000;172.180000;0
20240715 045700;172.180000;172.180000;172.129000;172.142000;0
20240715 045800;172.141000;172.166000;172.140000;172.155000;0
20240715 045900;172.153000;172.167000;172.139000;172.150000;0
20240715 050000;172.150000;172.151000;172.088000;172.088000;0
20240715 050100;172.088000;172.132000;172.084000;172.128000;0
20240715 050200;172.128000;172.131000;172.107000;172.120000;0
20240715 050300;172.121000;172.141000;172.120000;172.141000;0
20240715 050400;172.140000;172.154000;172.130000;172.141000;0
20240715 050500;172.140000;172.145000;172.129000;172.139000;0
20240715 050600;172.137000;172.175000;172.137000;172.149000;0
20240715 050700;172.149000;172.178000;172.149000;172.174000;0
20240715 050800;172.174000;172.185000;172.170000;172.177000;0
